Pathway_categories,Number,Type
Insulin receptor complex,1,cellular_component
Beta-2-microglobulin binding,2,molecular_function
C-terminal protein deglutamylation,2,biological_process
Positive regulation of histone h3-k4 methylation,3,biological_process
Oxalate transmembrane transporter activity,4,molecular_function
Regulation of high voltage-gated calcium channel activity,3,biological_process
Regulation of removal of superoxide radicals,4,biological_process
Positive regulation of flagellated sperm motility,1,biological_process
Hydrogen peroxide catabolic process,11,biological_process
Blood vessel development,11,biological_process
Negative regulation of t cell proliferation,7,biological_process
Rna polymerase ii ctd heptapeptide repeat kinase activity,7,molecular_function
Gaba-a receptor complex,2,cellular_component
Nucleus organization,4,biological_process
Skeletal muscle thin filament assembly,2,biological_process
Positive regulation of t-helper 2 cell differentiation,1,biological_process
Proton-transporting two-sector atpase complex,3,cellular_component
Aminoacylase activity,1,molecular_function
Regulation of systemic arterial blood pressure by renin-angiotensin,1,biological_process
Positive regulation of cell growth involved in cardiac muscle cell development,5,biological_process
Negative regulation of activated t cell proliferation,5,biological_process
Nucleotide-excision repair,4,biological_process
S-adenosylmethionine metabolic process,3,biological_process
Nuclear euchromatin,3,cellular_component
Zona pellucida receptor complex,3,cellular_component
Positive regulation of lipid biosynthetic process,4,biological_process
Triglyceride biosynthetic process,4,biological_process
Maturation of 5.8s rrna,2,biological_process
Lymphocyte proliferation,1,biological_process
Protein tag,6,molecular_function
Outer dynein arm,5,cellular_component
Positive regulation of uterine smooth muscle contraction,3,biological_process
Spliceosomal complex assembly,4,biological_process
Cobalamin metabolic process,8,biological_process
Cortical actin cytoskeleton organization,12,biological_process
Regulation of phosphoprotein phosphatase activity,8,molecular_function
Positive regulation of growth hormone secretion,6,biological_process
Dopamine neurotransmitter receptor activity,3,molecular_function
N-acetylneuraminate catabolic process,3,biological_process
Neuropilin binding,5,molecular_function
Negative regulation of serine-type endopeptidase activity,2,biological_process
L-alpha-amino acid transmembrane transport,2,biological_process
Regulation of presynaptic cytosolic calcium ion concentration,4,molecular_function
Positive regulation of tumor necrosis factor biosynthetic process,1,biological_process
Cell adhesion mediated by integrin,3,biological_process
Primary amine oxidase activity,1,biological_process
Toll-like receptor signaling pathway,15,biological_process
Saga complex,3,cellular_component
Paranode region of axon,2,cellular_component
Positive regulation of intracellular transport,2,biological_process
Negative regulation of arp2/3 complex-mediated actin nucleation,3,biological_process
Ribosome assembly,3,biological_process
Natural killer cell lectin-like receptor binding,1,molecular_function
Bcl-2 family protein complex,2,cellular_component
Alpha-2a adrenergic receptor binding,1,molecular_function
Ferroxidase activity,1,molecular_function
Receptor signaling complex scaffold activity,5,molecular_function
Tissue regeneration,3,biological_process
Ovulation,6,biological_process
Stem cell proliferation,4,biological_process
Ubiquitin-dependent smad protein catabolic process,1,biological_process
Positive regulation of thymocyte apoptotic process,2,biological_process
Sphingosine n-acyltransferase activity,2,molecular_function
Negative regulation of transcription elongation from rna polymerase ii promoter,4,biological_process
Somatic stem cell division,2,biological_process
Microtubule-severing atpase activity,1,molecular_function
Peptide hormone receptor binding,4,molecular_function
Trophoblast giant cell differentiation,5,biological_process
Negative regulation of jun kinase activity,3,biological_process
Sensory perception of chemical stimulus,2,biological_process
Protein k11-linked deubiquitination,2,biological_process
Hair follicle development,16,biological_process
Positive regulation of protein localization to nucleus,8,biological_process
Digestive tract development,10,biological_process
Core promoter binding,6,biological_process
Positive regulation of leukocyte migration,1,biological_process
Cytidine to uridine editing,4,biological_process
Glucose binding,5,molecular_function
Positive regulation by host of viral release from host cell,1,biological_process
Cellular response to peptidoglycan,1,biological_process
Norepinephrine binding,1,molecular_function
Commitment of neuronal cell to specific neuron type in forebrain,1,biological_process
Deadenylation-independent decapping of nuclear-transcribed mrna,2,biological_process
Positive regulation of smooth muscle cell differentiation,2,biological_process
Nuclear dna replication,1,biological_process
Negative regulation of nucleic acid-templated transcription,8,biological_process
Ubiquinol-cytochrome-c reductase activity,1,molecular_function
Myosin binding,13,molecular_function
U2 snrnp,5,cellular_component
Negative regulation of vascular endothelial growth factor receptor signaling pathway,2,biological_process
Transepithelial chloride transport,2,biological_process
Negative regulation of defense response to virus by host,2,biological_process
Cellular response to phorbol 13-acetate 12-myristate,4,biological_process
Negative regulation of pathway-restricted smad protein phosphorylation,6,biological_process
Morphogenesis of an epithelial sheet,2,biological_process
Glomerular filtration,4,biological_process
Positive regulation of arachidonic acid secretion,2,biological_process
Long-chain fatty acid binding,3,molecular_function
Galactosylceramide biosynthetic process,1,biological_process
Negative regulation of protein serine/threonine kinase activity,5,biological_process
Intermediate filament cytoskeleton organization,8,molecular_function
Negative regulation of protein serine/threonine kinase activity,5,molecular_function
Dna synthesis involved in dna repair,3,biological_process
Positive regulation of proteolysis,4,biological_process
Positive regulation of proteolysis,4,molecular_function
Bud elongation involved in lung branching,2,biological_process
Regulation of heart rate by cardiac conduction,12,biological_process
G-rich strand telomeric dna binding,1,molecular_function
Protein heterotrimerization,7,biological_process
Atp-dependent 3'-5' dna helicase activity,6,molecular_function
Dioxygenase activity,2,molecular_function
Cytoskeleton-dependent cytokinesis,3,biological_process
Regulation of blood vessel size,2,biological_process
Phospholipid scramblase activity,3,biological_process
Cell communication by electrical coupling involved in cardiac conduction,4,biological_process
Cell communication by electrical coupling involved in cardiac conduction,4,molecular_function
Sphingomyelin catabolic process,3,biological_process
Positive regulation of interleukin-13 secretion,2,biological_process
Structural constituent of nuclear pore,5,molecular_function
Nuclear pore outer ring,4,cellular_component
Negative regulation of heterotypic cell-cell adhesion,3,biological_process
Mitochondrial electron transport,4,biological_process
Decanoate-coa ligase activity,4,molecular_function
Enzyme linked receptor protein signaling pathway,2,biological_process
Positive regulation of alkaline phosphatase activity,1,biological_process
Interleukin-12 receptor binding,3,molecular_function
Regulation of establishment of protein localization,3,biological_process
Regulation of metanephric nephron tubule epithelial cell differentiation,3,biological_process
Coreceptor activity involved in wnt signaling pathway,3,molecular_function
Camera-type eye development,15,biological_process
Channel activity,4,molecular_function
Adenine transport,1,molecular_function
Phosphatidylinositol 3-kinase complex,11,cellular_component
Long-chain fatty acyl-coa binding,2,molecular_function
Beta-n-acetylglucosaminylglycopeptide beta-1,4,molecular_function
Multivesicular body lumen,1,cellular_component
Dna-templated transcription,7,biological_process
Modulation by virus of host morphology or physiology,3,biological_process
Negative regulation of type i interferon-mediated signaling pathway,1,biological_process
Cd95 death-inducing signaling complex,2,cellular_component
Regulation of actin filament polymerization,2,biological_process
Regulation of integrin-mediated signaling pathway,2,biological_process
Structural constituent of tooth enamel,3,molecular_function
Phosphatidylinositol-4-phosphate binding,8,molecular_function
Positive regulation of nitric-oxide synthase activity,9,biological_process
4 iron,11,molecular_function
Regulation of protein adp-ribosylation,2,biological_process
Syndecan binding,2,molecular_function
Post-mrna release spliceosomal complex,1,cellular_component
Behavioral response to cocaine,8,biological_process
Mrna stabilization,5,biological_process
Histone demethylase activity,4,molecular_function
Regulation of rac protein signal transduction,3,biological_process
Cyclin binding,10,molecular_function
Positive regulation of tor signaling,7,biological_process
Negative regulation of steroid biosynthetic process,1,biological_process
Fatz binding,2,molecular_function
Negative regulation of protein ubiquitination,12,biological_process
Protein targeting to membrane,13,biological_process
Positive regulation of cellular protein localization,2,biological_process
Positive regulation of memory t cell differentiation,2,biological_process
Regulation of postsynapse organization,3,biological_process
Rna polymerase binding,5,molecular_function
Detection of calcium ion,9,biological_process
Triglyceride catabolic process,8,biological_process
11-cis retinal binding,4,molecular_function
Mrna 3'-end processing by stem-loop binding and cleavage,4,biological_process
Synapse organization,4,biological_process
Synapse organization,4,molecular_function
Regulation of calcium-mediated signaling,4,biological_process
Acetylcholine receptor binding,2,molecular_function
Scavenger receptor activity,9,molecular_function
Histone methyltransferase activity (h3-k4 specific),4,molecular_function
Smooth muscle cell migration,5,biological_process
Neurotransmitter:sodium symporter activity,5,molecular_function
Positive regulation of transcription from rna polymerase ii promoter in response to heat stress,2,biological_process
Mating behavior,1,biological_process
Apoptotic nuclear changes,1,biological_process
Nucleocytoplasmic transport,6,biological_process
Acetylcholine binding,2,molecular_function
Srebp signaling pathway,4,biological_process
Monoamine transport,4,molecular_function
Extracellular matrix constituent conferring elasticity,1,molecular_function
Glucuronosyltransferase activity,8,molecular_function
Chiasma assembly,3,biological_process
Artery morphogenesis,1,biological_process
M band,17,cellular_component
Peptidase activator activity,2,molecular_function
Positive regulation of interleukin-6 secretion,5,biological_process
Fructose 1,4,biological_process
Positive regulation of potassium ion transmembrane transporter activity,4,biological_process
Ripoptosome,2,cellular_component
Calcium activated phosphatidylcholine scrambling,1,biological_process
Calcium activated galactosylceramide scrambling,1,biological_process
Actin filament bundle,3,cellular_component
Long-chain fatty acid metabolic process,8,molecular_function
Nucleosomal dna binding,9,molecular_function
Phosphatidylcholine metabolic process,4,biological_process
Negative regulation of small gtpase mediated signal transduction,2,biological_process
Positive regulation of macrophage cytokine production,2,biological_process
Mitogen-activated protein kinase p38 binding,5,molecular_function
Positive regulation of protein secretion,11,biological_process
Acyl-coa metabolic process,10,biological_process
Excitatory synapse assembly,1,biological_process
Endosome lumen,1,cellular_component
Ampa glutamate receptor complex,5,cellular_component
Voltage-gated sodium channel complex,7,cellular_component
Rna secondary structure unwinding,3,biological_process
Pulmonary artery morphogenesis,1,biological_process
Mrna cleavage involved in gene silencing by mirna,1,molecular_function
Disordered domain specific binding,13,molecular_function
Nedd8-specific protease activity,2,molecular_function
Cell-cell recognition,1,biological_process
Saga-type complex,3,cellular_component
Calcium-independent phospholipase a2 activity,3,molecular_function
Sphingomyelin phosphodiesterase activity,4,molecular_function
Granular component,3,cellular_component
Striated muscle contraction,2,biological_process
Acetylcholine-gated channel complex,8,cellular_component
Sodium-dependent phosphate transport,3,biological_process
Sodium-dependent phosphate transmembrane transporter activity,3,molecular_function
Positive regulation of mapkkk cascade by fibroblast growth factor receptor signaling pathway,1,biological_process
Female meiosis i,2,biological_process
Positive regulation of cyclic-nucleotide phosphodiesterase activity,3,biological_process
Cellular response to staurosporine,2,biological_process
Eukaryotic translation initiation factor 2 complex,2,cellular_component
Tissue homeostasis,6,biological_process
Ionotropic glutamate receptor signaling pathway,8,biological_process
Thioesterase binding,5,molecular_function
Negative regulation of ruffle assembly,4,biological_process
Negative regulation of mesenchymal cell proliferation,2,biological_process
Tim22 mitochondrial import inner membrane insertion complex,3,cellular_component
Gland morphogenesis,4,biological_process
Epinephrine binding,1,molecular_function
Sphingosine biosynthetic process,5,biological_process
Positive regulation of inositol trisphosphate biosynthetic process,1,biological_process
Presynaptic cytosol,2,molecular_function
Translational termination,2,biological_process
Positive regulation of cholesterol biosynthetic process,2,biological_process
Ciliary tip,9,cellular_component
Protein retention in golgi apparatus,1,biological_process
Regulation of cell cycle g2/m phase transition,3,biological_process
Cardiac muscle tissue development,3,biological_process
Regulation of cell adhesion,4,biological_process
Peptidase inhibitor activity,3,molecular_function
Apoptotic chromosome condensation,1,biological_process
Positive regulation of the force of heart contraction,1,biological_process
Positive regulation of clathrin-dependent endocytosis,4,biological_process
Supercoiled dna binding,4,molecular_function
Negative regulation of stress fiber assembly,8,biological_process
Positive regulation of cell-cell adhesion,5,biological_process
Response to biotic stimulus,5,biological_process
Cell development,17,biological_process
Positive regulation of cellular protein metabolic process,8,biological_process
Arachidonic acid binding,4,molecular_function
Response to heat,6,biological_process
Global genome nucleotide-excision repair,10,biological_process
Enzyme inhibitor activity,3,molecular_function
Antigen processing and presentation of peptide antigen via mhc class i,6,biological_process
Antigen processing and presentation of exogenous peptide antigen via mhc class i,7,biological_process
Sulfur compound metabolic process,5,biological_process
Sulfur compound metabolic process,5,molecular_function
Regulation of cell size,12,biological_process
Chloride channel complex,2,cellular_component
Mitochondrial respiratory chain complex iii assembly,4,biological_process
Positive regulation of innate immune response,3,biological_process
Multivesicular body sorting pathway,4,biological_process
Mature conventional dendritic cell differentiation,3,biological_process
Ceramide binding,1,molecular_function
Regulation of hydrogen peroxide metabolic process,1,biological_process
Nata complex,2,cellular_component
Cellular response to hydroperoxide,1,biological_process
Post-anal tail morphogenesis,9,biological_process
Acute inflammatory response,6,biological_process
Response to hydroperoxide,2,biological_process
Dopamine metabolic process,8,biological_process
Spinal cord development,10,biological_process
Positive regulation of histone h3-k9 methylation,3,biological_process
Carnitine shuttle,3,biological_process
Central nervous system neuron axonogenesis,2,biological_process
R2tp complex,1,cellular_component
Histone h4-r3 methylation,2,molecular_function
Regulation of myeloid cell differentiation,2,biological_process
Cellular response to leucine,3,biological_process
Inhibition of cysteine-type endopeptidase activity involved in apoptotic process,2,biological_process
Negative regulation of camp-dependent protein kinase activity,2,biological_process
Ankyrin binding,8,molecular_function
Positive regulation of respiratory burst,1,biological_process
Phosphatidic acid transporter activity,3,molecular_function
Positive regulation of stem cell proliferation,1,biological_process
Store-operated calcium channel activity,4,biological_process
Positive regulation of regulatory t cell differentiation,3,biological_process
Neurotransmitter receptor transport,2,biological_process
Gamma-secretase complex,2,cellular_component
Histone lysine methylation,5,biological_process
Histone lysine methylation,5,molecular_function
Regulation of the force of heart contraction,6,biological_process
Sphingolipid metabolic process,3,biological_process
Negative regulation of cell cycle arrest,6,biological_process
3',3,molecular_function
Molybdopterin cofactor biosynthetic process,4,biological_process
Cysteine-type peptidase activity,6,biological_process
Cysteine-type peptidase activity,6,molecular_function
Positive regulation of cellular protein catabolic process,3,biological_process
Photoreceptor cell maintenance,11,biological_process
Excitatory chemical synaptic transmission,4,biological_process
Nadph oxidase complex,4,cellular_component
Risc-loading complex,2,cellular_component
Peptidyl-diphthamide biosynthetic process from peptidyl-histidine,3,biological_process
Glutamine metabolic process,3,biological_process
Ganglioside catabolic process,3,biological_process
B cell chemotaxis,1,biological_process
Determination of digestive tract left/right asymmetry,1,biological_process
Interleukin-21-mediated signaling pathway,4,molecular_function
Regulation of endothelial cell proliferation,1,biological_process
Positive regulation of sodium ion transmembrane transporter activity,4,biological_process
Protein localization to synapse,6,biological_process
Phagophore assembly site membrane,6,cellular_component
Juxtaparanode region of axon,1,cellular_component
Growth hormone secretion,2,biological_process
Sulfuric ester hydrolase activity,3,molecular_function
Positive regulation of non-motile cilium assembly,1,biological_process
Positive regulation of neutrophil extravasation,2,biological_process
Dna protection,3,biological_process
Cardiac muscle cell action potential involved in contraction,4,biological_process
Promoter-specific chromatin binding,12,molecular_function
Cardiac muscle fiber development,4,biological_process
Phospholipase a1 activity,2,molecular_function
Protein localization to centrosome,5,biological_process
Cardiac ventricle formation,3,biological_process
Tongue development,3,biological_process
Nmda selective glutamate receptor complex,4,cellular_component
Negative regulation of single stranded viral rna replication via double stranded dna intermediate,2,biological_process
Fucosylation,4,molecular_function
Skin morphogenesis,5,biological_process
Trna-specific adenosine deaminase activity,4,molecular_function
Calcium:sodium antiporter activity,1,biological_process
Calcium:sodium antiporter activity,1,molecular_function
Tau protein binding,3,molecular_function
Cul4a-ring e3 ubiquitin ligase complex,2,cellular_component
Negative regulation of intrinsic apoptotic signaling pathway,9,biological_process
Cilium organization,6,biological_process
Nuclear telomere cap complex,4,cellular_component
Nucleoside kinase activity,6,molecular_function
Arf guanyl-nucleotide exchange factor activity,5,molecular_function
Melanin biosynthetic process,3,biological_process
Regulation of germinal center formation,2,biological_process
Regulation of cell communication by electrical coupling,2,biological_process
Negative regulation of perk-mediated unfolded protein response,4,biological_process
Isg15-protein conjugation,1,biological_process
Positive regulation of long-term synaptic potentiation,4,biological_process
Negative regulation of immune response,5,biological_process
Neutral amino acid transport,2,molecular_function
Response to carbohydrate,5,biological_process
Cobalamin binding,5,molecular_function
Negative regulation of cell migration involved in sprouting angiogenesis,7,biological_process
Ribosomal small subunit export from nucleus,4,biological_process
Phospholipase activator activity,1,molecular_function
L-proline transmembrane transporter activity,3,molecular_function
Positive regulation of mitochondrial calcium ion concentration,2,biological_process
Positive regulation of ryanodine-sensitive calcium-release channel activity,4,biological_process
Corpus callosum morphogenesis,2,biological_process
Positive regulation of long-term neuronal synaptic plasticity,1,biological_process
Dna polymerase binding,3,molecular_function
Hormone metabolic process,3,biological_process
Positive regulation of neutrophil chemotaxis,5,biological_process
Histone methyltransferase activity (h3-k9 specific),3,molecular_function
Histone mrna catabolic process,3,biological_process
Peptidyl-tyrosine autophosphorylation,16,biological_process
L-serine catabolic process,3,biological_process
Locomotion,2,biological_process
Cellular response to sodium arsenite,1,biological_process
Histone methyltransferase activity (h4-k20 specific),1,molecular_function
Mitochondrial transcription,5,biological_process
Mitochondrial transcription,5,molecular_function
Atrioventricular canal development,2,biological_process
Cysteine-type endopeptidase inhibitor activity involved in apoptotic process,6,molecular_function
Endocrine pancreas development,10,biological_process
Threonine-type endopeptidase activity,7,molecular_function
Mitotic spindle organization,3,biological_process
Synaptic vesicle transport,2,biological_process
Chromosome organization,5,biological_process
Chromosome organization,5,molecular_function
Inorganic anion exchanger activity,9,molecular_function
Vestibulocochlear nerve formation,1,biological_process
Cellular amino acid metabolic process,6,biological_process
Endoplasmic reticulum chaperone complex,6,cellular_component
Chitinase activity,2,molecular_function
Low-density lipoprotein particle receptor catabolic process,5,biological_process
Regulation of postsynaptic density assembly,1,biological_process
Distal enhancer dna-binding transcription repressor activity,5,molecular_function
Exonucleolytic nuclear-transcribed mrna catabolic process involved in deadenylation-dependent decay,7,biological_process
Regulation of systemic arterial blood pressure,2,biological_process
Negative regulation of endothelial cell apoptotic process,8,biological_process
Positive regulation of interleukin-5 secretion,1,biological_process
Type 5 metabotropic glutamate receptor binding,2,molecular_function
Synaptic vesicle endocytosis,9,biological_process
Proximal promoter sequence-specific dna binding,9,molecular_function
Protein k11-linked ubiquitination,11,biological_process
Positive regulation of natural killer cell mediated cytotoxicity,5,biological_process
Atp hydrolysis coupled cation transmembrane transport,3,biological_process
Atp hydrolysis coupled cation transmembrane transport,3,molecular_function
Positive regulation of cyclin-dependent protein serine/threonine kinase activity,10,molecular_function
Melanocortin receptor activity,1,molecular_function
Regulation of dna repair,2,biological_process
Cerebral cortex regionalization,2,biological_process
Positive regulation of interferon-alpha production,3,biological_process
Oligodendrocyte development,9,biological_process
Cellular response to atp,2,biological_process
Spliceosomal tri-snrnp complex assembly,5,biological_process
Innate immune response in mucosa,7,biological_process
Negative regulation of osteoblast differentiation,17,biological_process
Protein k63-linked deubiquitination,7,biological_process
Sialylation,7,biological_process
Epithelial cell development,3,biological_process
Positive regulation of gene silencing by mirna,4,biological_process
Coreceptor activity,16,molecular_function
Cardiac conduction,2,biological_process
Cardiac conduction,2,molecular_function
Negative regulation of transporter activity,4,biological_process
Lewy body,1,cellular_component
Chromosome,13,biological_process
Chromosome,13,cellular_component
Negative regulation of protein localization to cell surface,5,biological_process
Multivesicular body,11,cellular_component
Detection of mechanical stimulus involved in sensory perception of pain,5,biological_process
Retinal binding,5,molecular_function
Tat protein binding,5,molecular_function
Phospholipase a2 activity,8,biological_process
Entrainment of circadian clock by photoperiod,4,biological_process
Protein serine/threonine kinase activator activity,13,molecular_function
Negative regulation of anoikis,7,biological_process
Protein localization to nucleus,11,biological_process
L-serine metabolic process,3,biological_process
Nuclear stress granule,1,cellular_component
Positive regulation of myoblast fusion,4,biological_process
Positive regulation of epidermal growth factor-activated receptor activity,1,biological_process
Embryonic viscerocranium morphogenesis,9,biological_process
Vagina development,3,biological_process
Phosphatidylinositol 3-kinase regulatory subunit binding,3,molecular_function
Centrosome duplication,5,biological_process
Positive regulation of interferon-gamma-mediated signaling pathway,1,biological_process
Cerebellar granule cell precursor proliferation,2,biological_process
Regulation of neuron projection development,7,biological_process
Cellular response to organic substance,2,biological_process
Cellular response to organic substance,2,molecular_function
Protein depalmitoylation,4,biological_process
Positive regulation of oligodendrocyte differentiation,11,biological_process
Regulation of dna-templated transcription,3,biological_process
Response to folic acid,1,molecular_function
Negative regulation of cardiac muscle cell proliferation,4,biological_process
Microtubule nucleation by interphase microtubule organizing center,2,biological_process
Phosphatidylethanolamine binding,3,molecular_function
Peptidyltransferase activity,3,molecular_function
Integrator complex,6,cellular_component
Cul3-ring ubiquitin ligase complex,8,cellular_component
Regulation of systemic arterial blood pressure by endothelin,3,biological_process
Protein localization to endoplasmic reticulum exit site,3,biological_process
Complement binding,1,molecular_function
Cell death,12,biological_process
Glycosylphosphatidylinositol-n-acetylglucosaminyltransferase (gpi-gnt) complex,5,cellular_component
Risc complex,8,cellular_component
Oxidoreductase activity,8,molecular_function
Positive regulation of vascular endothelial growth factor production,11,biological_process
Dna repair complex,1,cellular_component
Vitamin d receptor binding,6,molecular_function
Insulin receptor substrate binding,1,molecular_function
Regulation of mitochondrial fission,1,biological_process
K63-linked polyubiquitin modification-dependent protein binding,5,molecular_function
Positive regulation of neurotransmitter secretion,2,biological_process
Neuroepithelial cell differentiation,2,biological_process
Male pronucleus,3,cellular_component
Positive regulation of actin cytoskeleton reorganization,3,biological_process
Regulation of cell-cell adhesion,3,biological_process
Protein disulfide isomerase activity,6,molecular_function
Negative regulation of monocyte chemotactic protein-1 production,1,biological_process
L-ornithine transmembrane transport,3,biological_process
Negative regulation of cd4-positive,2,biological_process
L-methionine salvage from methylthioadenosine,1,biological_process
De novo centriole assembly involved in multi-ciliated epithelial cell differentiation,2,biological_process
Serine hydrolase activity,4,molecular_function
Single-stranded dna 3'-5' exodeoxyribonuclease activity,2,molecular_function
Positive regulation of vasculogenesis,3,biological_process
Beta-catenin-tcf complex,6,cellular_component
Actin crosslink formation,3,biological_process
Cerebellum development,8,biological_process
Cation transmembrane transport,1,biological_process
Acylglycerol lipase activity,3,molecular_function
Cation transmembrane transport,1,molecular_function
Regulation of cardiac muscle cell contraction,3,biological_process
Nervous system process,21,biological_process
Cell junction assembly,3,biological_process
Protein methylation,8,biological_process
Protein methylation,8,molecular_function
Endothelial cell differentiation,2,biological_process
Protein k48-linked deubiquitination,7,biological_process
Regulation of protein autophosphorylation,1,biological_process
Anchored component of external side of plasma membrane,2,cellular_component
Positive regulation of natural killer cell chemotaxis,4,biological_process
Negative regulation of nik/nf-kappab signaling,4,biological_process
Branched-chain amino acid catabolic process,3,biological_process
Calcium-dependent phospholipase a2 activity,4,molecular_function
Steroid catabolic process,2,biological_process
Pre-mrna 3'-splice site binding,1,molecular_function
Positive regulation of monocyte differentiation,3,biological_process
Golgi-associated vesicle,6,cellular_component
Dna-dependent atpase activity,16,molecular_function
Deuterosome,2,cellular_component
Cell adhesive protein binding involved in bundle of his cell-purkinje myocyte communication,3,molecular_function
Leukocyte cell-cell adhesion,4,biological_process
Regulation of nmda receptor activity,3,biological_process
Cellular response to epidermal growth factor stimulus,5,biological_process
Regulation of cell cycle process,2,biological_process
Fad binding,11,molecular_function
Mitotic sister chromatid segregation,11,biological_process
Myd88-dependent toll-like receptor signaling pathway,10,biological_process
Negative regulation of bone resorption,1,biological_process
Positive regulation of astrocyte differentiation,2,biological_process
Glutamine transport,1,biological_process
Proteasome assembly,1,biological_process
Endoplasmic reticulum exit site,8,cellular_component
Neurogenesis,11,biological_process
Protein sumoylation,6,biological_process
Dichotomous subdivision of terminal units involved in salivary gland branching,1,biological_process
Innervation,10,biological_process
Regulation of stem cell differentiation,2,biological_process
Neurexin family protein binding,5,molecular_function
Positive regulation of calcium-mediated signaling,4,biological_process
Acetylcholine receptor inhibitor activity,2,molecular_function
Purine ribonucleoside monophosphate biosynthetic process,1,biological_process
Regulation of lamellipodium assembly,4,biological_process
Purine ribonucleoside monophosphate biosynthetic process,1,molecular_function
Macrophage activation involved in immune response,1,biological_process
Positive regulation of cation channel activity,3,biological_process
Neurotransmitter transport,8,biological_process
Neurotransmitter transport,8,molecular_function
Rna polymerase ii repressing transcription factor binding,18,molecular_function
Cofactor metabolic process,3,biological_process
Meiotic chromosome condensation,0,biological_process
Negative regulation of macrophage cytokine production,4,biological_process
Endothelial cell proliferation,6,biological_process
Septin ring assembly,2,biological_process
Glial cell differentiation,5,biological_process
Positive regulation of podosome assembly,2,biological_process
Regulation of protein secretion,3,biological_process
Dopamine binding,3,molecular_function
Caveola assembly,2,biological_process
Protein methyltransferase activity,2,molecular_function
Amyloid-beta clearance,2,biological_process
Glucose transmembrane transport,3,biological_process
Pyrimidine nucleoside salvage,5,biological_process
Activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,4,biological_process
Lung alveolus development,10,biological_process
C21-steroid hormone biosynthetic process,3,biological_process
Nurd complex,7,cellular_component
Profilin binding,2,molecular_function
Pharyngeal arch artery morphogenesis,2,biological_process
Lens fiber cell morphogenesis,1,biological_process
G1 to g0 transition,3,biological_process
Negative regulation of atpase activity,3,biological_process
Protein metabolic process,4,biological_process
Vinculin binding,3,molecular_function
Histone acetyltransferase activity,10,molecular_function
Astrocyte differentiation,2,biological_process
Extracellular matrix protein binding,1,molecular_function
Carbohydrate transport,6,biological_process
Carbohydrate transport,6,molecular_function
Beta-catenin destruction complex disassembly,5,biological_process
E-box binding,16,molecular_function
L-type voltage-gated calcium channel complex,3,cellular_component
Establishment of cell polarity,9,biological_process
Common-partner smad protein phosphorylation,0,biological_process
Seminiferous tubule development,6,biological_process
Trna-splicing ligase complex,4,cellular_component
Ctf18 rfc-like complex,3,cellular_component
Positive regulation of heart rate,3,biological_process
Regulation of establishment of cell polarity,3,biological_process
Negative regulation of cell cycle,16,biological_process
Negative regulation of exocytosis,4,biological_process
O-acyltransferase activity,2,molecular_function
Calcium ion transport into cytosol,2,biological_process
Lateral element,8,cellular_component
Negative regulation of t cell mediated cytotoxicity,3,biological_process
Protein o-linked mannosylation,5,molecular_function
Response to organic cyclic compound,15,biological_process
Behavioral response to ethanol,2,biological_process
Semaphorin receptor binding,5,molecular_function
Sequence-specific double-stranded dna binding,3,molecular_function
Positive regulation of protein kinase a signaling,2,biological_process
Sympathetic ganglion development,3,biological_process
Response to starvation,7,biological_process
Regulation of mitotic spindle assembly,8,biological_process
Protein phosphatase 2a binding,8,molecular_function
Protein-cysteine s-palmitoyltransferase activity,3,molecular_function
Histone methyltransferase binding,1,molecular_function
Peptidyl-serine dephosphorylation,5,biological_process
Nuclear pericentric heterochromatin,1,cellular_component
Activation of nf-kappab-inducing kinase activity,8,biological_process
Cofactor binding,5,molecular_function
Photoreceptor cell outer segment organization,2,biological_process
Mrna transcription by rna polymerase ii,7,biological_process
Cytokine binding,11,molecular_function
Poly(u) rna binding,6,molecular_function
Dna ligation,2,molecular_function
Sex determination,4,biological_process
Positive regulation of epithelial to mesenchymal transition,14,biological_process
Lysine-acetylated histone binding,2,molecular_function
Nucleotide-binding oligomerization domain containing 2 signaling pathway,3,biological_process
Establishment of protein localization to telomere,2,biological_process
Positive regulation of extracellular matrix assembly,1,biological_process
Regulation of entry of bacterium into host cell,2,biological_process
Chromosome passenger complex,1,cellular_component
Mpp7-dlg1-lin7 complex,0,cellular_component
Fructose binding,3,molecular_function
Mrna 3'-utr au-rich region binding,3,molecular_function
Regulation of atrial cardiac muscle cell membrane depolarization,3,biological_process
Synaptic vesicle docking,2,biological_process
Chloride transport,8,biological_process
Chloride transport,8,molecular_function
Negative regulation of interferon-gamma production,5,biological_process
Dynein intermediate chain binding,4,molecular_function
Bmp receptor binding,3,molecular_function
Apoptotic cell clearance,5,biological_process
Urogenital system development,6,biological_process
Negative regulation of phosphatidylinositol 3-kinase signaling,4,biological_process
Negative regulation of interleukin-12 production,4,biological_process
Regulation of sodium ion transmembrane transporter activity,7,biological_process
Negative regulation of cytokine secretion involved in immune response,1,biological_process
Tetraspanin-enriched microdomain,4,cellular_component
Autophagosome assembly,6,biological_process
Cullin family protein binding,7,molecular_function
Cellular response to glucocorticoid stimulus,3,biological_process
Testosterone dehydrogenase (nad+) activity,5,molecular_function
Mannosyl-oligosaccharide 1,2,biological_process
Glycogen catabolic process,5,biological_process
Positive regulation of type i interferon-mediated signaling pathway,4,biological_process
Nuclear origin of replication recognition complex,3,cellular_component
